,id,artists,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0B9x2BRHqj3Qer7biM3pU3,John Travolta & Olivia Newton-John,You're The One That I Want - From “Grease”,0.758,0.612,0,-11.403,1,0.0598,0.281,0.00288,0.0954,0.822,106.945,169840,4
1,7mjSHL2Eb0kAwiKbvNNyD9,Yusuf / Cat Stevens,Wild World,0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,200560,4
2,1JQ6Xm1JrvHfvAqhl5pwaA,Commodores,Easy,0.589,0.384,10,-15.075,0,0.0332,0.112,2.8e-05,0.0596,0.354,132.909,256427,4
3,4Vn7TykT27PIygBiZjTR2s,Eagles,Hotel California - 2013 Remaster,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
4,3gdewACMIVMEWVbyb8O9sY,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
5,2JoZzpdeP2G6Csfdq5aLXP,Bee Gees,How Deep Is Your Love,0.633,0.357,5,-9.366,0,0.0264,0.105,0.0,0.133,0.674,104.938,245200,4
6,2AVkArcfALVk2X8sfPRzya,John Travolta & Olivia Newton-John,Summer Nights - From “Grease”,0.747,0.663,2,-9.415,1,0.0545,0.62,5.24e-05,0.0861,0.606,124.336,216907,4
7,0GjEhVFGZW8afUYGChu3Rr,ABBA,Dancing Queen,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,230400,4
8,6zC0mpGYwbNTpk9SKwh08f,Eric Clapton,Wonderful Tonight,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,225027,4
9,7Jh1bpe76CNTCgdgAdBw4Z,David Bowie,Heroes - 2017 Remaster,0.49,0.758,7,-6.491,1,0.0297,0.000671,0.484,0.092,0.435,112.114,371413,4
10,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
11,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
12,2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival,Have You Ever Seen The Rain,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
13,3vkQ5DAB1qQMYO4Mr9zJN6,ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,292613,4
14,5BUq9bdtsm3LWw5laJeJ4R,Olivia Newton-John,Hopelessly Devoted To You - From “Grease”,0.59,0.338,11,-13.101,0,0.03,0.292,0.0131,0.121,0.322,110.581,185360,3
15,07q0QVgO56EorrSGHC48y3,KISS,I Was Made For Lovin' You,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,271240,4
16,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,Sweet Home Alabama,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
17,2RlgNHKcydI9sayD2Df2xp,Electric Light Orchestra,Mr. Blue Sky,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,4
18,5MxNLUsfh7uzROypsoO5qe,Aerosmith,Dream On,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960,4
19,5ubvP9oKmxLUVq506fgLhk,Bee Gees,Stayin Alive,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,285373,4
20,5CQ30WqJwcep0pYcV4AMNc,Led Zeppelin,Stairway to Heaven - Remaster,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,482830,4
21,5e9TFTbltYBg2xThimr0rU,Fleetwood Mac,The Chain - 2004 Remaster,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
22,7rWgGyRK7RAqAAXy4bLft9,ABBA,Angeleyes,0.719,0.922,11,-6.091,1,0.0338,0.523,0.000163,0.0867,0.964,133.113,260893,4
23,1QEEqeFIZktqIpPI4jSVSF,Boston,More Than a Feeling,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4
24,5CyZPkmTBmq61SunRDysna,John Travolta & Olivia Newton-John,We Go Together - From “Grease”,0.732,0.803,0,-10.817,1,0.202,0.228,0.0,0.659,0.776,111.13,179573,4
25,4U45aEWtQhrm8A5mxPaFZ7,Billy Joel,Vienna,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936,214240,4
26,7HW5WIw7ZgZORCzUxv5gW5,Elton John & Kiki Dee,Don't Go Breaking My Heart,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459,275440,4
27,75FYqcxt1YEAtqDLrOeIJn,Bob Marley & The Wailers,Three Little Birds,0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.126,180267,4
28,7LRMbd3LEoV5wZJvXT1Lwb,AC/DC,T.N.T.,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4
29,5Ts1DYOuouQLgzTaisxWYh,Edison Lighthouse,Love Grows (Where My Rosemary Goes),0.568,0.824,9,-4.613,1,0.0299,0.403,0.0,0.0855,0.753,108.625,174760,4
30,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,Immigrant Song - Remaster,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,4
31,38zsOOcu31XbbYj9BIPUF1,Elton John,Your Song,0.554,0.315,3,-11.028,1,0.0298,0.828,5.53e-06,0.101,0.325,128.157,241787,4
32,1k1Bqnv2R0uJXQN4u6LKYt,Bill Withers,Ain't No Sunshine,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,125093,4
33,4yugZvBYaoREkJKtbG08Qr,Eagles,Take It Easy - 2013 Remaster,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,4
34,2TxCwUlqaOH3TIyJqGgR91,ABBA,Mamma Mia,0.749,0.748,2,-7.011,1,0.0323,0.295,0.000443,0.469,0.827,137.547,213267,4
35,3EYOJ48Et32uATr9ZmLnAo,The Police,Roxanne,0.618,0.748,0,-8.905,1,0.358,0.0384,4.1e-06,0.0473,0.663,134.114,191947,4
36,7iN1s7xHE4ifF5povM6A48,The Beatles,Let It Be - Remastered 2009,0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,243027,4
37,07GvNcU1WdyZJq3XxP0kZa,Fleetwood Mac,Go Your Own Way - 2004 Remaster,0.583,0.947,5,-5.12,1,0.0378,0.0185,0.00109,0.0679,0.803,135.448,223613,4
38,1i6N76fftMZhijOzFQ5ZtL,Talking Heads,Psycho Killer - 2005 Remaster,0.721,0.521,2,-8.123,1,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413,4
39,2TVxnKdb3tqe1nhQWwwZCO,Elton John,Tiny Dancer,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,377093,4
