,id,artists,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,Sorry,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787,4
1,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
2,0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4
3,1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,4
4,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734,4
5,41zXlQxzTi6cGAjpOXyLYH,Billie Eilish,idontwannabeyouanymore,0.483,0.412,7,-8.461,1,0.0402,0.737,0.0,0.116,0.247,170.163,203569,3
6,7xoUc6faLbCqZO6fQEYprd,Ariana Grande,One Last Time,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267,4
7,72jbDTw1piOOj770jWNeaG,The Chainsmokers,Paris,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,221507,4
8,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,Stay With Me,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724,4
9,3zHq9ouUJQFQRf3cm1rRLu,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,252534,4
10,5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4
11,6QfS2wq5sSC1xAJCQsTSlj,Lady Gaga & Bradley Cooper,Shallow - Radio Edit,0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,217213,4
12,0e7ipj03S05BNilyu5bRzt,Post Malone & 21 Savage,rockstar (feat. 21 Savage),0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,218147,4
13,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
14,7ef4DlsgrMEH11cDZd32M6,Calvin Harris & Dua Lipa,One Kiss (with Dua Lipa),0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
15,6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4
16,3JvKfv6T31zO0ini8iNItO,Tom Odell,Another Love,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4
17,09mEdoA6zrmBPgTEN5qXmN,The Weeknd,Call Out My Name,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,228373,3
18,0u2P5u6lvoDfwTYjAADbn4,Billie Eilish & Khalid,lovely (with Khalid),0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4
19,0fea68AdmYNygeTGI4RC18,J Balvin & Bad Bunny,LA CANCIÓN,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573,4
20,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4
21,5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600,4
22,68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,292799,4
23,7MXVkk9YMctZqd1Srtv4MB,The Weeknd & Daft Punk,Starboy,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,230453,4
24,21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
25,5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,4
26,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
27,1SOClUWhOi8vHZYMz3GluK,Jaymes Young,Infinity,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963,237720,4
28,3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,211560,4
29,0y60itmpH0aPKsFiGxmtnh,WILLOW,Wait a Minute!,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4
30,3w3y8KPTfNeOKPiqUTakBh,Bruno Mars,Locked out of Heaven,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4
31,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,The Hills,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4
32,7JJmb5XwzOO8jgpou264Ml,Shawn Mendes,There's Nothing Holdin' Me Back,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,199440,4
33,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4
34,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,263400,3
35,086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4
36,0rKtyWc8bvkriBthvHKY8d,Joji,SLOW DANCING IN THE DARK,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,209274,4
37,3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,207133,4
38,0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,176658,4
39,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4
40,1zi7xx7UVEFkmKfv06H8x0,Drake & WizKid & Kyla,One Dance,0.792,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987,4
41,0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
42,4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,4
43,3GZD6HmiNUhxXYf8Gch723,Frank Ocean,Lost,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061,234093,4
44,3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
45,285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
46,3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,269560,4
47,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4
48,78QR3Wp35dqAhFEc2qAGjE,Lil Baby & Gunna,Drip Too Hard (Lil Baby & Gunna),0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,145543,4
49,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,4
50,04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933,4
51,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers & Halsey,Closer,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,4
52,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,The Less I Know The Better,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320,4
53,1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4
54,7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,4
55,2vXKRlJBXyOcvZYTdNeckS,Gesaffelstein & The Weeknd,Lost in the Fire (feat. The Weeknd),0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,202093,4
56,2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,169354,4
57,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
58,2Xr1dTzJee307rmrkt8c0g,CKay,love nwantiti (ah ah ah),0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4
59,6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837,4
60,4cluDES4hQEUhmXj6TXkSo,One Direction,What Makes You Beautiful,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987,4
61,4Li2WHPkuyCdtmokzW2007,JAY-Z & Kanye West,Ni**as In Paris,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022,219333,4
62,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
63,5Ohxk2dO5COHF1krpoPigN,Harry Styles,Sign of the Times,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4
64,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
65,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,Pumped Up Kicks,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
66,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
67,6DCZcSspjsKoFjzjrWoCdn,Drake,God's Plan,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4
68,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,4
69,3RiPr603aXAoi4GHyXx0uy,Coldplay,Hymn for the Weekend,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,4
70,0wXuerDYiBnERgIpbb3JBR,Childish Gambino,Redbone,0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,326933,4
71,6YUTL4dYpB9xZO5qExPf05,Calvin Harris,Summer,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,4
72,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,178627,4
73,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake & Justin Bieber,Let Me Love You,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947,4
74,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson & Bruno Mars,Uptown Funk (feat. Bruno Mars),0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667,4
75,4tqcoej1zPvwePZCzuAjJd,J. Cole,Wet Dreamz,0.495,0.722,6,-8.108,0,0.357,0.0697,0.0,0.113,0.539,175.627,239267,4
76,48QmG1dfvMuYLxMPt7KSRA,Sean Paul & Dua Lipa,No Lie,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,4
77,5mCPDVBb16L4XQwDdbRUpz,Drake,Passionfruit,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
78,6nek1Nin9q48AVZcWs9e9D,Coldplay,Paradise,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719,4
79,3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Treat You Better,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973,4
80,2dpaYNEQHiRxtZbfNsse99,Marshmello & Bastille,Happier,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4
