,id,artists,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5ueyLj6e6oVaTY0KQ6yLaA,Elvis Presley,All Shook Up,0.624,0.468,10,-12.162,1,0.132,0.881,6.35e-06,0.144,0.952,74.139,117080,4
1,3aEJMh1cXKEjgh52claxQp,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,0.585,0.247,1,-12.612,1,0.04,0.452,8.85e-06,0.107,0.591,127.15,223760,4
2,2vSxjnyrWrtxyfzO47EX6q,The Platters,Smoke Gets In Your Eyes,0.203,0.295,3,-11.155,1,0.0323,0.92,2.05e-06,0.173,0.285,171.222,160933,3
3,5yQ9iMZXGcr5rlO4hoLsP4,Ray Charles,"What'd I Say, Pt. 1 & 2",0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,307053,4
4,3HuJDcOWx0gE9Yng2uWY7K,Louis Armstrong,Dream A Little Dream Of Me,0.461,0.185,2,-18.087,1,0.0502,0.604,0.0,0.121,0.405,95.509,196840,4
5,50RwvvEKX5Q7AZt8FTAwIF,Buddy Holly,That'll Be The Day,0.536,0.637,2,-7.774,1,0.0343,0.467,0.0,0.0838,0.798,115.24,150133,4
6,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,Don't Be Cruel,0.697,0.55,2,-11.496,1,0.179,0.856,3.44e-05,0.0907,0.844,84.802,122893,4
7,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,Johnny B. Goode,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,161560,4
8,7caj6X6NMX3tlhWnu1du6V,Ritchie Valens,We Belong Together,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,116627,3
9,64VP3skE86iTvdOlbzuIcO,Jerry Lee Lewis,Great Balls Of Fire,0.533,0.729,7,-7.227,0,0.0714,0.563,0.0,0.159,0.884,78.67,111536,4
10,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,Beyond the Sea,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,172480,4
11,1uRKT2LRANv4baowBWHfDS,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,0.811,0.859,9,-6.317,1,0.168,0.205,3.73e-06,0.0761,0.784,90.686,129893,4
12,7dblNGnRXEBrVJunazs2U5,The Everly Brothers,All I Have to Do Is Dream,0.534,0.462,4,-8.172,1,0.0266,0.839,0.0,0.129,0.534,96.195,143333,4
13,33jt3kYWjQzqn3xyYQ5ZEh,Ella Fitzgerald & Louis Armstrong,Cheek To Cheek,0.663,0.264,0,-14.571,1,0.0914,0.706,0.0,0.1,0.657,122.482,354533,4
14,2aEeghgUcnu75tzcolFMfs,Ritchie Valens,La Bamba - Single Version,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099,126960,4
15,4gphxUgq0JSFv2BCLhNDiE,Elvis Presley,Jailhouse Rock,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,146480,4
16,39lnzOIUCSNaQmgBHoz7rt,Buddy Holly & The Crickets,Everyday,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,129120,4
17,4hHbeIIKO5Y5uLyIEbY9Gn,Frank Sinatra,Come Fly With Me - Remastered 1998,0.574,0.338,6,-11.376,1,0.042,0.845,0.0,0.165,0.493,67.008,199093,4
18,2xar08Fq5xra2KKZs5Bw9j,Ray Charles,I've Got a Woman,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,171467,4
